No,Ro,Lv,Part,Type,PN,A,Q,C1,C2,C3,C4
1,2,1,vocab,short-single,1,1,돈을 찾으러 ()에 갑니다. ,은행,운동장,경찰서,백화점
2,2,1,vocab,short-single,2,3,오늘은 바람이 불어서 (). ,맵습니다,덥습니다,시원합니다,넓습니다
3,2,1,vocab,short-multi,12,3,대한항공 사무실이 어디에 있습니까? 저도 여기 처음 왔어요. 1층 ()에 가서 물어보세요. ,금연,화장실,안내,휴게실
4,2,1,vocab,short-multi,13,1,"오늘은 ()이/가 어때요? 어제보다 좀 나아요? 네, 걱정해 주셔서 고맙습니다. 이제 괜찮아요. ",기분,날씨,나이,생각
5,2,1,vocab,short-multi,14,3,버스가 왜 안 오지요? 십오 분마다 오니까 () 올 거에요. 조금만 더 기다리세요. ,어서,똑바로,금방,갑자기
6,2,1,vocab,short-multi,15,3,아침에 다 같이 식사하세요? 우리는 () 시간이 다 다르니까 같이 못 먹어요. ,쉬는,끝나는,일어나는,내는
7,2,1,vocab,short-multi,16,2,여기 식사 왔습니다. 오늘은 밥 안 시켰는데요. 아까 전화로 비빔밥 두 그릇 () 않으셨어요?,받지,주문하지,시작하지,연락하지
8,2,1,vocab,short-multi,20,2,아직도 일이 안 끝났어요? 일은 다 () 전화를 기다려야 해요. ,끝나면,끝났지만,끝나서,끝나니까
9,2,1,vocab,short-multi,21,4,"집에서 회사까지 가까워요? 아니오, 지하철로 한 시간쯤 걸려요. 회사 근처에서 (). ",살아서 좋아요. ,살기가 좋겠어요,사니까 좋을 거예요. ,살고 싶어요. 
10,2,1,vocab,long-single,22,4,"제주도에 오십시오. 한번 오신 분은 누구나 다시 오고 () 아름다운 곳입니다. 사람들고 친절하고 구경할 곳도 많은 한국 제일의 관광지, 제주도를 찾아 주세요",싶는,싶어하니까,싶어서,싶어하는
